  0.00 65.00 63.00 66.00 65.00 64.00 47.00 48.00 52.00 51.00 50.00 52.00 52.00 56.00 58.00 60.00 58.00 52.00 54.00 57.00 51.00 53.00 47.00 51.00 51.00 51.00 52.00 49.00 51.00 52.00 55.00 52.00 52.00 52.00 53.00 53.00 53.00 51.00 52.00 53.00 52.00 53.00 54.00 51.00 48.00 54.00 50.00 51.00 52.00 50.00 46.00 59.00 53.00 58.00 57.00 60.00 58.00 56.00 56.00 58.00 61.00 59.00 55.00 57.00 58.00 58.00 61.00 60.00 60.00 60.00 59.00 56.00 59.00 60.00 59.00 58.00 60.00 61.00 43.00 41.00 54.00 52.00 62.00 60.00  0.00  0.00
 65.00  0.00 74.00 71.00 69.00 66.00 51.00 54.00 52.00 54.00 50.00 55.00 53.00 56.00 61.00 64.00 61.00 59.00 61.00 61.00 59.00 58.00 49.00 54.00 55.00 56.00 56.00 54.00 54.00 55.00 58.00 54.00 55.00 56.00 56.00 57.00 58.00 55.00 54.00 56.00 57.00 57.00 56.00 54.00 56.00 57.00 55.00 55.00 57.00 54.00 49.00 63.00 58.00 60.00 61.00 65.00 66.00 58.00 58.00 64.00 64.00 62.00 59.00 59.00 62.00 65.00 67.00 68.00 67.00 63.00 67.00 62.00 66.00 66.00 66.00 64.00 68.00 67.00 42.00 39.00 56.00 53.00 67.00 70.00  0.00  0.00
 63.00 74.00  0.00 68.00 66.00 67.00 51.00 55.00 54.00 52.00 51.00 56.00 53.00 60.00 64.00 64.00 64.00 56.00 57.00 60.00 56.00 58.00 49.00 54.00 56.00 55.00 57.00 54.00 57.00 56.00 57.00 55.00 55.00 56.00 55.00 55.00 57.00 55.00 56.00 55.00 55.00 57.00 57.00 52.00 55.00 55.00 53.00 55.00 59.00 56.00 51.00 61.00 57.00 58.00 63.00 65.00 67.00 58.00 59.00 64.00 65.00 64.00 60.00 61.00 61.00 64.00 67.00 68.00 64.00 62.00 65.00 60.00 64.00 65.00 64.00 64.00 67.00 68.00 42.00 41.00 56.00 57.00 67.00 65.00  0.00  0.00
 66.00 71.00 68.00  0.00 74.00 69.00 53.00 55.00 55.00 55.00 50.00 55.00 55.00 57.00 63.00 64.00 63.00 57.00 60.00 61.00 56.00 59.00 49.00 54.00 55.00 55.00 55.00 55.00 56.00 58.00 58.00 56.00 58.00 58.00 61.00 58.00 61.00 55.00 55.00 57.00 55.00 57.00 59.00 55.00 56.00 56.00 57.00 59.00 57.00 56.00 51.00 61.00 57.00 61.00 61.00 66.00 65.00 59.00 56.00 62.00 67.00 65.00 62.00 59.00 62.00 63.00 68.00 70.00 67.00 67.00 69.00 62.00 64.00 67.00 67.00 64.00 68.00 68.00 42.00 40.00 58.00 56.00 66.00 70.00  0.00  0.00
 65.00 69.00 66.00 74.00  0.00 74.00 51.00 51.00 52.00 52.00 50.00 50.00 51.00 53.00 58.00 62.00 59.00 59.00 60.00 61.00 54.00 55.00 49.00 51.00 55.00 54.00 52.00 51.00 51.00 53.00 54.00 54.00 56.00 54.00 55.00 54.00 56.00 53.00 54.00 54.00 53.00 54.00 56.00 50.00 50.00 52.00 54.00 53.00 52.00 51.00 48.00 59.00 55.00 58.00 59.00 60.00 60.00 54.00 55.00 60.00 61.00 61.00 59.00 58.00 60.00 60.00 63.00 63.00 63.00 62.00 62.00 59.00 60.00 64.00 63.00 61.00 62.00 62.00 41.00 39.00 54.00 54.00 64.00 66.00  0.00  0.00
 64.00 66.00 67.00 69.00 74.00  0.00 50.00 50.00 52.00 51.00 51.00 51.00 50.00 54.00 60.00 59.00 58.00 56.00 59.00 59.00 53.00 56.00 48.00 51.00 52.00 52.00 53.00 53.00 51.00 52.00 55.00 52.00 54.00 53.00 55.00 52.00 56.00 52.00 55.00 53.00 53.00 54.00 53.00 50.00 50.00 50.00 53.00 51.00 50.00 51.00 46.00 57.00 54.00 56.00 60.00 61.00 59.00 54.00 56.00 60.00 59.00 59.00 58.00 58.00 59.00 60.00 61.00 61.00 60.00 59.00 63.00 58.00 60.00 63.00 61.00 59.00 61.00 62.00 41.00 38.00 53.00 58.00 63.00 60.00  0.00  0.00
 47.00 51.00 51.00 53.00 51.00 50.00  0.00 55.00 60.00 62.00 55.00 57.00 47.00 48.00 54.00 51.00 53.00 51.00 49.00 50.00 46.00 48.00 42.00 42.00 44.00 45.00 44.00 41.00 42.00 45.00 47.00 46.00 46.00 45.00 46.00 45.00 48.00 45.00 48.00 46.00 47.00 45.00 43.00 44.00 42.00 45.00 43.00 45.00 47.00 44.00 45.00 46.00 44.00 51.00 53.00 49.00 50.00 52.00 50.00 50.00 52.00 52.00 46.00 47.00 47.00 55.00 51.00 53.00 52.00 50.00 52.00 50.00 50.00 52.00 51.00 51.00 53.00 51.00 42.00 38.00 46.00 51.00 50.00 50.00  0.00  0.00
 48.00 54.00 55.00 55.00 51.00 50.00 55.00  0.00 69.00 67.00 59.00 58.00 50.00 50.00 55.00 53.00 54.00 47.00 51.00 52.00 51.00 48.00 42.00 44.00 43.00 47.00 44.00 46.00 42.00 46.00 50.00 48.00 47.00 50.00 48.00 49.00 52.00 45.00 49.00 50.00 49.00 50.00 43.00 42.00 42.00 45.00 47.00 44.00 46.00 45.00 49.00 48.00 46.00 50.00 55.00 54.00 56.00 51.00 51.00 55.00 59.00 56.00 51.00 51.00 52.00 52.00 54.00 54.00 57.00 53.00 57.00 54.00 54.00 55.00 57.00 57.00 55.00 56.00 38.00 35.00 49.00 55.00 53.00 57.00  0.00  0.00
 52.00 52.00 54.00 55.00 52.00 52.00 60.00 69.00  0.00 73.00 61.00 61.00 51.00 52.00 56.00 53.00 55.00 49.00 51.00 48.00 48.00 48.00 44.00 46.00 47.00 47.00 47.00 47.00 46.00 48.00 48.00 47.00 45.00 47.00 46.00 47.00 48.00 46.00 51.00 50.00 47.00 47.00 45.00 43.00 43.00 45.00 45.00 43.00 46.00 44.00 50.00 48.00 47.00 51.00 55.00 53.00 54.00 51.00 51.00 53.00 54.00 56.00 47.00 51.00 51.00 54.00 57.00 55.00 55.00 52.00 54.00 56.00 57.00 55.00 57.00 53.00 55.00 55.00 41.00 40.00 48.00 55.00 52.00 54.00  0.00  0.00
 51.00 54.00 52.00 55.00 52.00 51.00 62.00 67.00 73.00  0.00 58.00 60.00 48.00 50.00 54.00 53.00 53.00 49.00 52.00 51.00 50.00 51.00 45.00 48.00 48.00 49.00 47.00 47.00 46.00 48.00 47.00 50.00 49.00 49.00 49.00 47.00 48.00 48.00 51.00 50.00 48.00 50.00 46.00 45.00 43.00 45.00 46.00 46.00 44.00 44.00 49.00 49.00 49.00 51.00 54.00 52.00 54.00 52.00 51.00 53.00 55.00 55.00 49.00 50.00 52.00 56.00 56.00 56.00 57.00 53.00 55.00 57.00 56.00 57.00 55.00 55.00 56.00 55.00 38.00 38.00 50.00 53.00 52.00 56.00  0.00  0.00
